,WAVELENGTH(nm),AM 1.5G,EQE(%),Energy(eV),PF,EQE*PF(mA/cm²),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
157,378.5,0.8341799999999999,17.37005334,3.276089828269485,0.25462671774193546,0.004422879668966543,0.12536174388016103,
158,379.0,0.7438899999999999,17.424872389999997,3.271767810026385,0.22736637903225804,0.003961830140413468,0.12745792133250602,
159,379.5,0.66683,17.47969144,3.2674571805006587,0.20408224596774194,0.0035672946878983133,0.12934020253958398,
160,380.0,0.70077,17.53451049,3.263157894736842,0.21475209677419355,0.003765572893636592,0.13117341943496771,
161,380.5,0.75075,17.545319034,3.2588699080157686,0.23037127016129033,0.004041937431247643,0.13312529701618878,
162,381.0,0.76383,17.556127577999998,3.254593175853018,0.23469292741935485,0.004120298975428488,0.1351658561178578,
163,381.5,0.6883699999999999,17.566936121999998,3.250327653997379,0.2117848024193548,0.0037204100957111963,0.13712603338564272,
164,382.0,0.58678,17.577744665999997,3.2460732984293195,0.18076609677419353,0.0031774602933662198,0.13885050098291207,
165,382.5,0.50762,17.58855321,3.241830065359477,0.1565843951612903,0.002754092966150021,0.14033338929779113,
166,383.0,0.45498999999999995,17.599361754,3.2375979112271542,0.1405332016129032,0.0024732946536333,0.14164023620273697,
167,383.5,0.44048999999999994,17.610170298,3.2333767926988264,0.13623218951612903,0.002399072057448442,0.1428583278805074,
168,384.0,0.50968,17.620978842,3.2291666666666665,0.1578363870967742,0.00278123163752998,0.144153403804252,
169,384.5,0.61359,17.631787386,3.224967490247074,0.19026238306451612,0.0033546658857472353,0.14568737818507133,
170,385.0,0.67355,17.64259593,3.220779220779221,0.20912641129032256,0.0036895327726861504,0.14744842784967968,
171,385.5,0.64363,17.669954369,3.216601815823606,0.2000962620967742,0.0035356918206574644,0.1492547339980156,
172,386.0,0.621,17.697312808,3.2124352331606216,0.19331129032258065,0.003421090374156813,0.15099392954671917,
173,386.5,0.6457,17.724671247,3.2082794307891334,0.2012605241935484,0.003567276626329535,0.15274102129684075,
174,387.0,0.65147,17.752029686,3.204134366925065,0.20332168548387095,0.0036093725965172328,0.15453518360255245,
175,387.5,0.6420399999999999,17.779388124999997,3.2,0.20063749999999997,0.0035672119849296862,0.15632932974791416,
176,388.0,0.6358199999999999,17.806746563999997,3.195876288659794,0.19895012903225803,0.003542654526552517,0.1581067963757847,
177,388.5,0.63136,17.834105002999998,3.191763191763192,0.19780916129032258,0.0035277493530069754,0.15987439734567457,
178,389.0,0.68543,17.861463441999998,3.1876606683804627,0.21502602419354838,0.0038406794702116717,0.16171650455147923,
179,389.5,0.7597,17.888821881,3.183568677792041,0.23863157258064518,0.004268837697078085,0.16374388384330169,
180,390.0,0.79699,17.91618032,3.1794871794871793,0.25066620967741937,0.004490981012711575,0.1659338385207491,
181,390.5,0.80371,17.926733086,3.175416133162612,0.25310383467741937,0.004537324887305168,0.16819091499575328,
182,391.0,0.8513799999999999,17.937285852,3.1713554987212276,0.2684593387096774,0.004815431898074373,0.17052910419209816,
183,391.5,0.86344,17.947838618,3.1673052362707534,0.27261029032258066,0.004892765496315805,0.1729561535406957,
184,392.0,0.79493,17.958391384,3.163265306122449,0.2513004516129032,0.00451295186504047,0.1753075828810348,
185,392.5,0.66257,17.96894415,3.159235668789809,0.20972477822580643,0.0037685328268106514,0.17737795405399756,
186,393.0,0.47975,17.979496916,3.1552162849872776,0.15204979838709676,0.0027337788811792278,0.17900353198099503,
187,393.5,0.38151999999999997,17.990049682,3.1512071156289707,0.12107106451612902,0.0021780744656977884,0.1802314953177143,
188,394.0,0.49567,18.000602448,3.1472081218274113,0.15749514516129032,0.0028350074955384376,0.18148476580802334,
189,394.5,0.68385,18.011155214,3.1432192648922688,0.21756356854838707,0.003918571202036728,0.18317316048241714,
190,395.0,0.80772,18.02170798,3.1392405063291138,0.2572979032258065,0.004636947675801784,0.18531204020187678,
191,395.5,0.8603799999999999,18.035157178,3.1352718078381794,0.2744195887096774,0.004949200415101146,0.18770857722460252,
192,396.0,0.75655,18.048606376,3.1313131313131315,0.24160790322580641,0.0043606859426532805,0.19003604881404113,
193,396.5,0.5501699999999999,18.062055574,3.1273644388398485,0.1759212943548387,0.0031775001952871087,0.19192059534852624,
194,397.0,0.42618999999999996,18.075504772,3.123425692695214,0.13644954032258064,0.0024663943172380126,0.19333156897665751,
195,397.5,0.62945,18.08895397,3.119496855345912,0.20177933467741932,0.0036499770970770625,0.1948606618302363,
196,398.0,0.85249,18.102403168,3.1155778894472363,0.2736217903225806,0.004953211963969315,0.1970114590954979,
197,398.5,1.0069,18.115852366,3.1116687578419073,0.3235884274193548,0.005862080178475138,0.199715282131109,
198,399.0,1.0693,18.129301564,3.107769423558897,0.34407314516129034,0.0062378058087029795,0.20274025362790354,
199,399.5,1.1021,18.142750762,3.1038798498122655,0.35507173387096774,0.006441977970252161,0.20591019957264234,
200,400.0,1.1141,18.15619996,3.1,0.35938709677419356,0.006525103992076129,0.20915197006322442,
201,401.0,1.1603,18.248491356,3.092269326683292,0.3752260483870968,0.006847309300537973,0.21583817670953148,
202,402.0,1.2061,18.340782752,3.084577114427861,0.39100983870967737,0.007171426505668752,0.22284754461263484,
203,403.0,1.1613,18.433074148,3.076923076923077,0.3774225,0.00695705692762353,0.22991178632928097,
204,404.0,1.1801,18.525365544,3.0693069306930694,0.3844841935483871,0.007122710231373917,0.2369516699087797,
205,405.0,1.1511,18.61765694,3.0617283950617282,0.37596411290322584,0.006999570875783686,0.2440128104623585,
206,406.0,1.1227,18.677119668,3.0541871921182264,0.3675937096774194,0.006865591704849211,0.25094539175267494,
207,407.0,1.1026,18.736582396,3.0466830466830466,0.3619017741935484,0.006780802411436006,0.25776858881081754,
208,408.0,1.1514,18.796045124,3.0392156862745097,0.3788477419354839,0.007120839252544862,0.264719409642808,
209,409.0,1.2299,18.855507852,3.031784841075795,0.40566862903225803,0.007649088020027816,0.2721043732790943,
210,410.0,1.0485,18.91497058,3.024390243902439,0.3466814516129032,0.006557469457889757,0.2792076520180531,
211,411.0,1.1738,18.943982297999998,3.017031630170316,0.38905790322580647,0.007370306031606674,0.2861715397628013,
212,412.0,1.2478,18.972994015999998,3.0097087378640777,0.4145916129032258,0.007866044190696692,0.293789714873953,
